P_rogue1_fine,R_rogue1_fine,F1_rogue1_fine,P_rougeL_fine,R_rougeL_fine,F1_rougeL_fine,P_rogue1_mini,R_rogue1_mini,F1_rogue1_mini,P_rougeL_mini,R_rougeL_mini,F1_rougeL_mini
0.5263157894736842,0.2777777777777778,0.36363636363636365,0.42105263157894735,0.2222222222222222,0.2909090909090909,0.3090909090909091,0.4722222222222222,0.37362637362637363,0.3090909090909091,0.4722222222222222,0.37362637362637363
0.2857142857142857,0.21052631578947367,0.24242424242424243,0.21428571428571427,0.15789473684210525,0.18181818181818182,0.0963855421686747,0.42105263157894735,0.15686274509803924,0.0963855421686747,0.42105263157894735,0.15686274509803924
0.9,0.5294117647058824,0.6666666666666667,0.7,0.4117647058823529,0.5185185185185185,0.29545454545454547,0.7647058823529411,0.42622950819672134,0.29545454545454547,0.7647058823529411,0.42622950819672134
0.5789473684210527,0.55,0.5641025641025641,0.3684210526315789,0.35,0.358974358974359,0.07920792079207921,0.4,0.1322314049586777,0.07920792079207921,0.4,0.1322314049586777
0.2727272727272727,0.17647058823529413,0.21428571428571427,0.2727272727272727,0.17647058823529413,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0
0.02564102564102564,0.1111111111111111,0.041666666666666664,0.02564102564102564,0.1111111111111111,0.041666666666666664,0.017857142857142856,0.2222222222222222,0.03305785123966942,0.017857142857142856,0.2222222222222222,0.03305785123966942
0.42857142857142855,0.21428571428571427,0.2857142857142857,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.42857142857142855,0.12244897959183672,0.07142857142857142,0.42857142857142855,0.12244897959183672
1.0,0.38461538461538464,0.5555555555555556,1.0,0.38461538461538464,0.5555555555555556,0.13846153846153847,0.6923076923076923,0.23076923076923078,0.13846153846153847,0.6923076923076923,0.23076923076923078
1.0,1.0,1.0,1.0,1.0,1.0,0.06306306306306306,1.0,0.11864406779661016,0.06306306306306306,1.0,0.11864406779661016
0.5945945945945946,0.3384615384615385,0.43137254901960786,0.40540540540540543,0.23076923076923078,0.29411764705882354,0.3855421686746988,0.49230769230769234,0.43243243243243246,0.3855421686746988,0.49230769230769234,0.43243243243243246
0.8125,0.52,0.6341463414634146,0.75,0.48,0.5853658536585366,0.2714285714285714,0.76,0.39999999999999997,0.2714285714285714,0.76,0.39999999999999997
0.1111111111111111,0.0625,0.08,0.1111111111111111,0.0625,0.08,0.07368421052631578,0.4375,0.12612612612612611,0.07368421052631578,0.4375,0.12612612612612611
1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.8,0.32000000000000006,0.2,0.8,0.32000000000000006
0.391304347826087,0.24324324324324326,0.30000000000000004,0.34782608695652173,0.21621621621621623,0.26666666666666666,0.20512820512820512,0.43243243243243246,0.2782608695652174,0.20512820512820512,0.43243243243243246,0.2782608695652174
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,0.15625,0.8333333333333334,0.2631578947368421,0.15625,0.8333333333333334,0.2631578947368421
0.5882352941176471,0.38461538461538464,0.46511627906976744,0.47058823529411764,0.3076923076923077,0.372093023255814,0.36666666666666664,0.5641025641025641,0.4444444444444444,0.36666666666666664,0.5641025641025641,0.4444444444444444
0.6842105263157895,0.29545454545454547,0.41269841269841273,0.5789473684210527,0.25,0.3492063492063492,0.3058823529411765,0.5909090909090909,0.4031007751937985,0.3058823529411765,0.5909090909090909,0.4031007751937985
