step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,4.4225,0.40909,,
2,2.96151,0.44898,,
3,2.54146,0.49733,,
4,2.84433,0.55319,,
5,2.1846,0.55072,,
6,3.74256,0.32308,,
7,2.66233,0.51351,,
8,2.70002,0.51724,,
9,1.7711,0.56311,,
10,1.61462,0.65517,1.94793,0.55833
11,2.22303,0.51923,,
12,3.02324,0.29032,,
13,1.80607,0.48276,,
14,1.47734,0.63636,,
15,1.30081,0.775,,
16,0.71525,0.77778,,
17,1.12205,0.70588,,
18,1.61854,0.57407,,
19,1.51861,0.53488,,
20,1.49729,0.52,1.69547,0.53448
21,1.91191,0.52632,,
22,1.43828,0.68085,,
23,1.97706,0.52564,,
24,1.65532,0.54348,,
25,1.64036,0.61574,,
26,2.44411,0.41935,,
27,0.49815,0.86538,,
28,0.8011,0.79412,,
29,1.09291,0.61538,,
30,2.45687,0.47917,2.89435,0.31579
31,1.09261,0.78125,,
32,0.54579,0.8125,,
33,1.43844,0.60294,,
34,1.03201,0.71154,,
35,1.54934,0.65385,,
36,1.13797,0.57143,,
37,2.52827,0.36667,,
38,1.3553,0.64286,,
39,1.70387,0.55882,,
40,2.56368,0.42358,1.85704,0.51613
41,1.92967,0.51562,,
42,1.65569,0.52632,,
43,0.87018,0.78947,,
44,1.06829,0.7,,
45,2.02724,0.42105,,
46,3.20124,0.6,,
47,1.37254,0.68293,,
48,1.88612,0.58366,,
49,1.04118,0.67568,,
50,1.64948,0.59722,1.39854,0.56452
51,2.19199,0.46,,
52,0.69023,0.85294,,
53,2.01053,0.50515,,
54,1.95499,0.52727,,
55,1.90783,0.55882,,
56,2.01752,0.6129,,
57,0.95321,0.64706,,
58,2.76802,0.42105,,
59,1.22608,0.56522,,
60,1.29185,0.57812,1.70255,0.60938
61,1.80894,0.59821,,
62,0.58641,0.76471,,
63,0.27768,1.0,,
64,1.01931,0.68085,,
65,1.52239,0.66667,,
66,3.13615,0.3494,,
67,0.77725,0.77778,,
68,2.10676,0.45763,,
69,0.6013,0.78947,,
70,0.95892,0.64,0.73701,0.6875
71,0.50254,0.88312,,
72,1.95164,0.5,,
73,1.00897,0.67033,,
74,1.66991,0.66667,,
75,2.24297,0.5,,
76,1.40635,0.64167,,
77,2.06131,0.47619,,
78,1.47063,0.61682,,
79,1.36617,0.625,,
80,1.51285,0.60606,1.34327,0.60714
81,2.17887,0.51562,,
82,0.87276,0.72464,,
83,1.43107,0.63393,,
84,1.55739,0.63813,,
85,0.73153,0.76923,,
86,0.45148,0.81818,,
87,0.72405,0.74468,,
88,1.06659,0.63158,,
89,1.72532,0.53333,,
90,0.41437,0.84,0.26846,0.83333
91,0.45301,0.86842,,
92,1.4934,0.54878,,
93,0.32349,0.91176,,
94,0.16075,1.0,,
95,1.5746,0.5625,,
96,0.11238,0.9375,,
97,1.48855,0.52381,,
98,1.30692,0.57895,,
99,1.14429,0.69872,,
100,1.59731,0.62032,1.39231,0.6
101,0.4985,0.91892,,
102,0.92577,0.59091,,
103,1.26241,0.74194,,
104,0.76037,0.875,,
105,0.55972,0.78723,,
106,2.08139,0.51965,,
107,1.07107,0.73529,,
108,0.25339,0.94118,,
109,2.07788,0.50769,,
110,1.07043,0.73684,2.20333,0.54054
111,0.38316,0.92593,,
112,1.7737,0.52667,,
113,0.54033,0.85294,,
114,0.81683,0.82927,,
115,1.15258,0.64486,,
116,2.6056,0.38554,,
117,1.07159,0.66667,,
118,0.94961,0.74419,,
119,0.62632,0.76923,,
120,1.03532,0.68333,1.59858,0.57576
121,1.72671,0.57812,,
122,1.62459,0.58065,,
123,1.56353,0.51562,,
124,0.38032,0.88235,,
125,0.6911,0.82759,,
126,0.56189,0.83333,,
127,0.37523,0.86957,,
128,1.09918,0.8,,
129,0.92839,0.75676,,
130,0.22808,0.90385,1.49435,0.65306
131,0.84781,0.66,,
132,1.03552,0.71154,,
133,0.8997,0.72059,,
134,0.93436,0.71429,,
135,0.63602,0.86207,,
136,0.59105,0.84375,,
137,0.90416,0.75862,,
138,1.1588,0.66667,,
139,0.77358,0.70312,,
140,0.48392,0.76923,1.28712,0.69355
141,1.18786,0.64078,,
142,1.72846,0.55932,,
143,0.99079,0.66667,,
144,0.01115,1.0,,
145,1.38691,0.57812,,
146,0.59368,0.8625,,
147,1.16598,0.6413,,
148,1.51925,0.60256,,
149,1.56939,0.59677,,
150,0.53401,0.85714,2.38752,0.4569
151,1.02501,0.70175,,
152,1.96895,0.50877,,
153,1.58203,0.59794,,
154,0.18834,0.94737,,
155,1.07071,0.67647,,
156,0.24619,0.92208,,
157,0.34554,0.88889,,
158,1.48344,0.65957,,
159,0.95391,0.79167,,
160,0.87577,0.77551,1.6071,0.61905
161,1.32539,0.6,,
162,1.16526,0.69907,,
